Schema_AT_ID,Table_Name,Table_ID,Field_ID,Field_Name,Field_Type,Is_Linked_Field,Linked_Table_ID,Linked_Table
recqMmQnxU0yPBMNF,Users,tbl7Z5w12sAh3lx2A,fld7Vgze7rnm5moWC,email,email,,,
recU0fIB19Llw5lPS,Users,tbl7Z5w12sAh3lx2A,flduD9NcufsafXYPb,Name,singleLineText,,,
recwNmr5xVrW5qitZ,Users,tbl7Z5w12sAh3lx2A,flda7jwTTxUAPFEzT,Type,singleSelect,,,
recTMlj5D9pXdTptR,Users,tbl7Z5w12sAh3lx2A,fldBwDLxaTsGxr0En,Magic_Link,url,,,
recTXG2EFjj1SYMQq,Users,tbl7Z5w12sAh3lx2A,fldfjZgUd3wV14sS0,Created_Softr_Account,dateTime,,,
rec6dtOAGmB6FPmql,Users,tbl7Z5w12sAh3lx2A,fldXdt5tEu7mNZVlT,Message_Reviews,multipleRecordLinks,checked,tblVYqPsI2vLZqwez,Message_Reviews
recXVJqbREOf7ICyD,Users,tbl7Z5w12sAh3lx2A,fldxvn3hrZlZBFmL4,Prompt_Change_Requests,multipleRecordLinks,checked,tblalr4AqofO1cpZQ,Prompt_Change_Requests
recZra4wJB8cqXDmp,Users,tbl7Z5w12sAh3lx2A,fldYVgA3TLGtLtTxF,Prompt_Change_Requests copy,multipleRecordLinks,checked,tblBLkBmSaAib0WLr,Content_Change_Requests
recBfxCk4ctFyferz,Chatbase_Chatbots,tblALOX2TYrzWPVKe,fldC7EGyVWxYSAeju,Chatbase_Table_AT_ID,formula,,,
recl2xWNvofPs5hpZ,Chatbase_Chatbots,tblALOX2TYrzWPVKe,fldWTBa4hkoFYGOdf,Chatbase__Idenitifer,singleLineText,,,
rec0f1yGmp2fHSy4U,Chatbase_Chatbots,tblALOX2TYrzWPVKe,fld1VuNAy5IJpkrUW,Chatbot_Name,singleLineText,,,
recr36HUWeI3LxONf,Chatbase_Chatbots,tblALOX2TYrzWPVKe,fldNR8ACKeCnz9FxK,Chatbots user id,singleLineText,,,
rec1g5mgGrg40QKi5,Chatbase_Chatbots,tblALOX2TYrzWPVKe,fldQ3b0kx0gIjtkNL,Chatbots visibility,singleLineText,,,
rec34UQoNuHYCGgaa,Chatbase_Chatbots,tblALOX2TYrzWPVKe,fldkEtihvTz4ulFG5,Chatbots created at,dateTime,,,
